2012-11-06	2012-11-07	GQR (D)	Phone	http://www.democracycorps.com/Economy-Project/engaging-the-big-economic-issues-ahead/	Likely Voters	0.51	0.45	0
2012-11-05	2012-11-07	Gallup	Phone	http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx	Adults	0.49	0.44	0
2012-11-03	2012-11-05	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/6pkdh10fns/econToplines.pdf	Adults	0.45	0.51	0.04
2012-11-03	2012-11-05	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/6pkdh10fns/econToplines.pdf	Adults - Democrat	0.85	0.13	0.02
2012-11-03	2012-11-05	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/6pkdh10fns/econToplines.pdf	Adults - Republican	0.05	0.92	0.02
2012-11-03	2012-11-05	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/6pkdh10fns/econToplines.pdf	Adults - independent	0.42	0.56	0.01
2012-11-03	2012-11-05	Gravis Marketing	Automated Phone	http://www.gravispolls.com/2012/11/gravis-marketing-national-poll-shows.html	Likely Voters	0.46	0.49	0.06
2012-11-03	2012-11-05	Rasmussen	Automated Phone	http://www.rasmussenreports.com/public_content/politics/obama_administration/obama_approval_index_history	Likely Voters	0.5	0.49	0
2012-11-03	2012-11-05	Rasmussen	Automated Phone	http://www.rasmussenreports.com/public_content/politics/obama_administration/daily_presidential_tracking_poll	Likely Voters	0.5	0.49	0
2012-11-04	2012-11-04	Rasmussen	Automated Phone	http://www.rasmussenreports.com/public_content/politics/elections/election_2012/election_2012_presidential_election/ohio/election_2012_ohio_president	Likely Voters	0.51	0.48	0
2012-11-02	2012-11-04	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf	Likely Voters	0.48	0.48	0.04
2012-11-02	2012-11-04	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf	Likely Voters - Democrat	0.79	0.18	0.03
2012-11-02	2012-11-04	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf	Likely Voters - Republican	0.11	0.87	0.02
2012-11-02	2012-11-04	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf	Likely Voters - independent	0.5	0.43	0.07
2012-11-02	2012-11-04	CNN	Phone	http://i2.cdn.turner.com/cnn/2012/images/11/04/top16.pdf	Likely Voters	0.51	0.45	0.04
2012-11-01	2012-11-04	Gallup	Phone	http://www.gallup.com/poll/113980/Gallup-Daily-Obama-Job-Approval.aspx	Adults	0.52	0.45	0
2012-11-01	2012-11-04	ABC/Post	Phone	http://www.washingtonpost.com/blogs/the-fix/wp/2012/11/05/wapo-abc-tracking-poll-final-weekend-tally-is-obama-50-romney-47-still-a-margin-of-error-contest/	Registered Voters	0.52	0.46	0
2012-11-01	2012-11-04	ABC/Post	Phone	http://www.washingtonpost.com/blogs/the-fix/wp/2012/11/05/wapo-abc-tracking-poll-final-weekend-tally-is-obama-50-romney-47-still-a-margin-of-error-contest/	Registered Voters - Democrat	0.87	0.12	0
2012-11-01	2012-11-04	ABC/Post	Phone	http://www.washingtonpost.com/blogs/the-fix/wp/2012/11/05/wapo-abc-tracking-poll-final-weekend-tally-is-obama-50-romney-47-still-a-margin-of-error-contest/	Registered Voters - Republican	0.12	0.87	0
2012-11-01	2012-11-04	ABC/Post	Phone	http://www.washingtonpost.com/blogs/the-fix/wp/2012/11/05/wapo-abc-tracking-poll-final-weekend-tally-is-obama-50-romney-47-still-a-margin-of-error-contest/	Registered Voters - independent	0.5	0.47	0
2012-11-01	2012-11-04	DailyKos/SEIU/PPP (D)	Automated Phone	http://www.dailykos.com/weeklypolling/2012/11/1	Likely Voters	0.48	0.49	0.02
2012-11-01	2012-11-04	DailyKos/SEIU/PPP (D)	Automated Phone	http://www.dailykos.com/weeklypolling/2012/11/1	Likely Voters - Democrat	0.88	0.11	0.01
