2013-01-15	2013-01-17	FOX	Phone	http://www.foxnews.com/politics/interactive/2013/01/18/fox-news-poll-government-spending/	Registered Voters	0.51	0.47	0.02
2013-01-12	2013-01-15	NBC/WSJ	Phone	http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/13018_JANUARY_NBC-WSJ.pdf	Adults	0.52	0.37	0.11
2013-01-11	2013-01-15	CBS/Times	Phone	http://s3.documentcloud.org/documents/557713/the-new-york-times-cbs-news-poll.pdf	Adults	0.46	0.34	0.2
2013-01-09	2013-01-13	Pew	Phone	http://www.people-press.org/files/legacy-questionnaires/01-17-13%20Political%20Topline%20for%20Release.pdf	Adults	0.59	0.38	0.03
2012-12-15	2012-12-17	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/e6q77itx7k/20121215_econToplines.pdf	Adults	0.53	0.39	0.08
2012-12-12	2012-12-16	CBS	Phone	http://www.scribd.com/doc/117298635/CBS-News-Poll-Fiscal-Cliff	Adults	0.49	0.34	0.17
2012-12-08	2012-12-10	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/v4l4yvo8fk/econToplines.pdf	Adults	0.52	0.41000000000000003	0.07
2012-12-06	2012-12-09	NBC/WSJ	Phone	http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/_Today_Stories_Teases/NBCPOLL1212.pdf	Adults	0.53	0.38	0.09
2012-12-04	2012-12-06	Marist/McClatchy	Phone	http://maristpoll.marist.edu/wp-content/misc/usapolls/US121204/Obama/Complete%20December%2012,%202012%20USA%20McClatchy-Marist%20Poll%20Release%20and%20Tables.pdf	Registered Voters	0.53	0.44	0.03
2012-12-02	2012-12-06	Politico/GWU/Battleground	Phone	http://images.politico.com/global/2012/12/07/121207_battlegroundpoll.html	Likely Voters	0.52	0.45	0.03
2012-12-01	2012-12-03	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/v4l4yvo8fk/econToplines.pdf	Adults	0.53	0.43	0.03
2012-11-23	2012-11-26	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/ozwje0t4f4/econTabReport.pdf	Adults	0.51	0.47	0.02
2012-11-17	2012-11-19	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/co13jzvbau/econTabReport.pdf	Adults	0.47000000000000003	0.45999999999999996	0.07
2012-11-16	2012-11-18	CNN	Phone	http://i2.cdn.turner.com/cnn/2012/images/11/26/approvalpoll.pdf	Adults	0.56	0.41	0.02
2012-11-10	2012-11-12	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/o9egx1fa6x/econToplines.pdf	Adults	0.51	0.45	0.03
2012-11-09	2012-11-12	Gallup/USA Today	Phone	http://www.gallup.com/poll/158849/views-obama-democrats-election.aspx?utm_source=twitter&utm_medium=gallupnews&utm_campaign=syndication	Adults	0.58	0.41	0.01
2012-11-06	2012-11-07	GQR (D)	Phone	http://www.democracycorps.com/Economy-Project/engaging-the-big-economic-issues-ahead/	Likely Voters	0.51	0.41	0
2012-11-03	2012-11-05	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/6pkdh10fns/econToplines.pdf	Adults	0.51	0.46	0.02
2012-11-02	2012-11-04	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_113.pdf	Likely Voters	0.5	0.47	0.03
2012-11-02	2012-11-04	CNN	Phone	http://i2.cdn.turner.com/cnn/2012/images/11/04/top16.pdf	Likely Voters	0.52	0.46	0.01
2012-11-01	2012-11-04	DailyKos/SEIU/PPP (D)	Automated Phone	http://www.dailykos.com/weeklypolling/2012/11/1	Likely Voters	0.49	0.48	0.03
2012-11-01	2012-11-04	Monmouth	Mixed	http://cms.monmouth.edu/assets/0/84/159/2147483694/c8af3c69-d7c7-4f41-9749-99d4fa948484.pdf	Likely Voters	0.47	0.44	0.08
2012-11-01	2012-11-04	Democracy Corps (D)	Phone	http://big.assets.huffingtonpost.com/demcorpstracker.pdf	Likely Voters	0.53	0.39	0
2012-11-01	2012-11-03	NBC/WSJ	Phone	http://firstread.nbcnews.com/_news/2012/11/04/14924205-final-national-nbcwsj-poll-before-tuesday-obama-48-percent-romney-47-percent?lite	Likely Voters	0.49	0.44999999999999996	0.06
2012-10-31	2012-11-01	Purple Strategies	Mixed	http://www.purplestrategies.com/wp-content/uploads/November110212_v4.pdf	Likely Voters	0.47	0.47	0.05
2012-10-30	2012-11-01	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_111.pdf	Likely Voters	0.49	0.49	0.02
2012-10-29	2012-11-01	Politico/GWU/Battleground	Phone	https://mediarelations.gwu.edu/sites/mediarelations.gwu.edu/files/downloads/Questionnaire%20and%20Results_6.pdf	Likely Voters	0.51	0.45	0.04
2012-10-28	2012-10-30	FOX	Phone	http://www.foxnews.com/politics/interactive/2012/10/31/fox-news-poll-race-for-white-house-dead-heat/	Registered Voters	0.53	0.45	0.02
2012-10-26	2012-10-28	YouGov/Economist	Internet	http://today.yougov.com/news/2012/10/31/hurricane-sandy-obama-one/	Adults	0.49	0.48000000000000004	0.03
2012-10-26	2012-10-28	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/102610271028TrackerResults.pdf	Likely Voters	0.48	0.49	0.03
2012-10-25	2012-10-28	CBS/Times	Phone	http://big.assets.huffingtonpost.com/OctQuin.pdf	Likely Voters	0.46	0.46	0.09
2012-10-25	2012-10-28	DailyKos/SEIU/PPP (D)	Automated Phone	http://www.dailykos.com/weeklypolling/2012/10/25	Likely Voters	0.48	0.49	0.04
2012-10-24	2012-10-28	Pew	Phone	http://www.people-press.org/2012/10/29/presidential-race-dead-even-romney-maintains-turnout-edge/	Adults	0.56	0.4	0.04
2012-10-23	2012-10-25	NPR	Phone	http://media.npr.org/documents/2012/oct/NPROctpoll.pdf	Likely Voters	0.51	0.48	0.02
2012-10-23	2012-10-25	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/102310241025Results.pdf	Likely Voters	0.48	0.49	0.03
2012-10-22	2012-10-25	Politico/GWU/Battleground	Phone	http://images.politico.com/global/2012/10/politico_gwbgp_oct29_questionnaire.html	Likely Voters	0.51	0.47000000000000003	0.02
2012-10-19	2012-10-23	AP-GfK	Phone	http://ap-gfkpoll.com/main/wp-content/uploads/2012/10/AP-GfK-Poll-October-2012-Topline_POLITICS.pdf	Adults	0.53	0.42	0.05
2012-10-20	2012-10-22	YouGov/Economist	Internet	http://cdn.yougov.com/cumulus_uploads/document/75qcgwj577/econToplines.pdf	Adults	0.49	0.49	0.03
2012-10-18	2012-10-21	DailyKos/SEIU/PPP (D)	Automated Phone	http://www.dailykos.com/weeklypolling/2012/10/18	Likely Voters	0.47	0.49	0.04
2012-10-18	2012-10-21	Democracy Corps (D)	Phone	http://www.democracycorps.com/attachments/article/918/dcor.ecn.fq.102112.pol.v2.pdf	Likely Voters	0.5	0.43	0
2012-10-18	2012-10-21	Monmouth	Mixed	http://www.monmouth.edu/assets/0/84/159/2147483694/0e2e970e-a544-4f4d-8659-6233705b8ae7.pdf	Likely Voters	0.45	0.45	0.1
2012-10-17	2012-10-20	CBS	Phone	http://www.cbsnews.com/8301-250_162-57537588/poll-ahead-of-third-debate-obama-leads-on-foreign-policy/?pageNum=2&tag=page	Adults	0.47	0.42	0.10999999999999999
2012-10-17	2012-10-20	NBC/WSJ	Phone	http://msnbcmedia.msn.com/i/MSNBC/Sections/A_Politics/nbc_oct_poll.pdf	Registered Voters	0.49	0.43	0.08
2012-10-17	2012-10-19	PPP (D-Americans United for Change)	Automated Phone	http://www.publicpolicypolling.com/pdf/2011/PPP_Release_TrackingPoll_1019Evening.pdf	Likely Voters	0.49	0.47	0.04
2012-10-14	2012-10-18	Politico/GWU/Battleground	Phone	http://images.politico.com/global/2012/10/politico_gwbgp_oct22_questionnaire.html	Likely Voters	0.52	0.44	0.04
2012-10-13	2012-10-15	YouGov/Economist	Internet	http://today.yougov.com/news/2012/10/17/likely-voters-give-president-one-point-edge/	Adults	0.49	0.48000000000000004	0.04
2012-10-12	2012-10-14	DailyKos/SEIU/PPP (D)	Automated Phone	http://www.dailykos.com/weeklypolling/2012/10/12	Likely Voters	0.46	0.51	0.03
2012-10-10	2012-10-11	Gallup/USA Today	Phone	http://www.gallup.com/poll/158045/voters-equally-favorable-candidates-prior-second-debate.aspx	Registered Voters	0.51	0.48	0
2012-10-07	2012-10-11	Politico/GWU/Battleground	Phone	http://www.politico.com/news/stories/1012/82389.html	Likely Voters	0.53	0.46	0.02
2012-10-08	2012-10-10	Monmouth	Mixed	http://www.monmouth.edu/assets/0/84/159/2147483694/f84548f8-7dcc-4d33-9b5c-56d2e18df7f5.pdf	Likely Voters	0.46	0.45	0.08
2012-10-07	2012-10-09	FOX	Phone	http://www.foxnews.com/politics/interactive/2012/10/10/fox-news-poll-race-shifts-toward-romney-after-debate/	Registered Voters	0.52	0.44	0.04
